row_id,efficiency_binning_standard,eff_times_minutes_binning_standard,high_eff_min_freq,points_binning_standard,eff_per_point_binning_standard,blocks,target
5217,14,4,0.2032857142857143,4,2,1,1
2211,12,3,0.7967142857142857,4,2,1,1
4826,15,4,0.2032857142857143,4,2,3,1
6275,4,1,0.7967142857142857,1,2,1,0
3735,7,2,0.7967142857142857,3,1,0,0
7549,5,1,0.7967142857142857,1,2,0,0
8915,9,1,0.7967142857142857,2,2,1,0
6714,6,1,0.7967142857142857,1,3,0,0
8541,9,2,0.7967142857142857,3,2,1,1
5104,12,3,0.7967142857142857,3,2,1,1
6222,9,2,0.7967142857142857,3,2,2,0
816,8,2,0.7967142857142857,2,2,1,0
4964,4,1,0.7967142857142857,2,1,0,0
619,11,2,0.7967142857142857,3,2,0,1
4399,5,1,0.7967142857142857,3,1,1,0
4413,7,2,0.7967142857142857,3,1,0,0
4856,5,1,0.7967142857142857,2,2,1,0
7024,10,3,0.7967142857142857,3,2,2,1
1043,12,3,0.7967142857142857,4,2,0,1
2373,7,1,0.7967142857142857,2,2,1,0
2752,8,2,0.7967142857142857,3,2,1,0
3299,8,2,0.7967142857142857,3,1,0,0
1075,5,1,0.7967142857142857,1,3,1,0
1397,7,2,0.7967142857142857,2,2,1,0
8791,13,3,0.2032857142857143,4,2,1,1
5805,8,2,0.7967142857142857,3,2,0,0
3804,9,2,0.7967142857142857,3,2,1,0
180,15,5,0.2032857142857143,4,2,1,1
8317,12,3,0.2032857142857143,4,2,0,1
2648,9,2,0.7967142857142857,3,2,1,0
5573,9,2,0.7967142857142857,3,2,0,1
7347,10,2,0.7967142857142857,2,2,1,1
2457,7,1,0.7967142857142857,3,2,0,0
8362,14,3,0.7967142857142857,4,2,3,1
1158,15,5,0.7967142857142857,6,1,1,1
6483,14,4,0.2032857142857143,4,2,0,1
1533,14,4,0.2032857142857143,4,2,1,1
3066,12,3,0.7967142857142857,4,2,0,0
3107,8,2,0.7967142857142857,3,2,1,0
8620,8,2,0.7967142857142857,3,1,1,0
3275,7,1,0.7967142857142857,2,2,0,0
8184,7,2,0.7967142857142857,3,1,0,0
2440,10,3,0.7967142857142857,3,2,0,0
1536,4,1,0.7967142857142857,1,2,0,0
1346,15,4,0.2032857142857143,4,2,0,1
2474,13,4,0.2032857142857143,4,2,0,0
8707,13,3,0.7967142857142857,3,2,2,1
6086,11,3,0.7967142857142857,3,2,0,1
5419,6,1,0.7967142857142857,3,1,1,0
8798,9,2,0.7967142857142857,3,2,1,0
5674,8,2,0.7967142857142857,3,2,0,1
6423,14,4,0.2032857142857143,4,2,2,1
2273,15,5,0.7967142857142857,5,2,1,0
1481,18,5,0.2032857142857143,4,2,2,1
3718,11,2,0.7967142857142857,4,1,1,0
8800,10,2,0.7967142857142857,3,2,2,0
8940,8,2,0.7967142857142857,3,2,1,0
2649,17,5,0.2032857142857143,5,2,0,1
1953,14,4,0.7967142857142857,4,2,0,1
6640,14,3,0.7967142857142857,4,2,1,1
2865,17,5,0.2032857142857143,6,2,0,1
1164,13,3,0.2032857142857143,3,2,2,0
8611,13,4,0.2032857142857143,5,1,0,1
4973,8,2,0.7967142857142857,3,2,0,1
3816,12,3,0.7967142857142857,4,2,0,0
6520,7,1,0.7967142857142857,2,2,0,0
4216,8,2,0.7967142857142857,2,2,2,0
3291,15,3,0.7967142857142857,5,2,0,1
1599,6,1,0.7967142857142857,2,2,0,0
8082,11,3,0.7967142857142857,3,2,2,1
301,15,4,0.2032857142857143,5,1,0,1
8805,8,1,0.7967142857142857,3,1,1,0
2479,10,2,0.7967142857142857,4,2,1,0
2076,12,3,0.7967142857142857,4,2,1,0
4462,12,4,0.7967142857142857,3,2,2,1
7783,4,1,0.7967142857142857,2,1,0,0
1360,16,4,0.2032857142857143,5,2,1,1
3129,13,4,0.2032857142857143,3,2,0,0
4685,15,4,0.2032857142857143,6,1,0,1
4583,15,4,0.2032857142857143,4,2,2,1
487,10,2,0.7967142857142857,4,1,1,0
5499,13,3,0.2032857142857143,4,2,1,1
7613,13,3,0.7967142857142857,5,1,0,0
1153,20,6,0.2032857142857143,6,2,2,1
3992,13,3,0.7967142857142857,4,2,0,1
6609,9,2,0.7967142857142857,2,2,1,1
6319,9,3,0.7967142857142857,3,2,0,0
8732,6,1,0.7967142857142857,2,2,1,0
6703,11,3,0.7967142857142857,3,2,2,0
5748,12,3,0.7967142857142857,4,2,0,0
666,12,3,0.7967142857142857,4,2,0,1
2685,5,1,0.7967142857142857,2,1,0,0
6625,9,2,0.7967142857142857,3,2,0,0
643,11,3,0.7967142857142857,4,2,1,0
177,8,2,0.7967142857142857,3,2,1,0
8918,9,2,0.7967142857142857,2,2,2,0
2234,12,4,0.7967142857142857,5,1,1,0
787,14,4,0.2032857142857143,4,2,0,1
5129,11,3,0.7967142857142857,4,2,0,1
3662,5,1,0.7967142857142857,2,2,0,0
2985,11,3,0.7967142857142857,4,2,0,1
92,8,2,0.7967142857142857,3,2,1,0
5426,5,1,0.7967142857142857,2,2,0,0
6690,11,3,0.7967142857142857,4,2,1,1
7173,10,2,0.7967142857142857,3,2,2,1
1972,10,2,0.7967142857142857,4,1,0,1
531,13,4,0.7967142857142857,5,1,0,1
997,10,2,0.7967142857142857,4,2,0,0
3425,7,2,0.7967142857142857,3,2,1,0
3308,12,3,0.7967142857142857,3,2,1,1
1428,4,1,0.7967142857142857,1,2,0,0
4520,8,2,0.7967142857142857,3,2,1,0
2304,13,4,0.2032857142857143,4,2,0,1
2841,8,2,0.7967142857142857,3,1,0,0
5240,10,2,0.7967142857142857,3,2,1,1
6681,5,1,0.7967142857142857,2,1,1,0
7584,10,2,0.7967142857142857,3,2,1,1
3549,12,3,0.7967142857142857,4,2,1,1
2869,12,3,0.2032857142857143,3,2,2,1
6861,9,2,0.7967142857142857,3,2,0,0
3746,12,3,0.7967142857142857,3,2,2,1
2749,10,3,0.7967142857142857,3,2,2,1
695,5,1,0.7967142857142857,1,2,0,0
5680,8,1,0.7967142857142857,3,2,0,0
1739,8,1,0.7967142857142857,2,3,0,0
168,10,3,0.7967142857142857,4,2,0,1
3913,9,2,0.7967142857142857,3,2,0,0
7194,6,1,0.7967142857142857,2,2,0,0
8210,10,2,0.7967142857142857,2,2,1,1
5588,15,4,0.2032857142857143,4,2,0,1
4020,5,1,0.7967142857142857,2,1,1,0
2334,9,2,0.7967142857142857,3,2,0,0
2606,3,1,0.7967142857142857,1,3,2,0
7672,8,1,0.7967142857142857,3,2,1,0
5665,7,2,0.7967142857142857,3,1,0,0
6429,10,2,0.7967142857142857,3,2,0,0
2922,12,3,0.7967142857142857,5,1,0,1
6747,12,3,0.7967142857142857,4,2,2,0
2756,8,2,0.7967142857142857,3,2,0,0
6400,8,2,0.7967142857142857,2,2,1,0
3647,5,1,0.7967142857142857,3,1,0,0
101,12,4,0.7967142857142857,5,1,0,1
4886,7,1,0.7967142857142857,2,2,0,0
5042,9,2,0.7967142857142857,3,2,0,0
6172,11,3,0.7967142857142857,3,2,1,1
8102,5,1,0.7967142857142857,2,2,1,0
8302,14,4,0.2032857142857143,4,2,2,1
2442,9,2,0.7967142857142857,3,2,0,0
1466,20,6,0.2032857142857143,6,2,1,1
4054,6,1,0.7967142857142857,3,1,0,0
1745,5,1,0.7967142857142857,3,1,0,0
4607,11,3,0.7967142857142857,4,1,0,0
8108,10,3,0.7967142857142857,3,2,1,1
4429,6,2,0.7967142857142857,2,2,0,0
8996,12,3,0.7967142857142857,3,2,2,1
7929,12,4,0.7967142857142857,4,2,1,1
8301,9,2,0.7967142857142857,2,2,1,0
6118,7,2,0.7967142857142857,2,2,0,0
5529,15,4,0.7967142857142857,4,2,0,1
