row_id,high_eff_min_freq_0.796875,high_eff_scorer_freq_0.5319444444444444,scoring_impact_binning_standard_3,minutes_played_binning_standard_4,eff_times_minutes_binning_standard_3,efficiency_binning_standard_13,target
6782,True,True,False,False,False,False,0
4553,True,False,True,True,True,False,1
3801,True,True,False,False,False,False,0
7385,True,True,False,False,False,False,0
469,True,False,False,False,False,False,0
2716,True,True,False,False,False,False,0
2433,True,True,False,False,False,False,0
5999,True,False,True,True,True,True,1
643,True,False,False,True,True,False,0
3567,True,True,False,False,False,False,0
2117,True,True,False,True,True,False,0
35,False,False,False,False,False,False,1
8690,True,False,True,False,False,False,1
2972,True,True,False,True,True,False,0
2174,True,True,False,False,False,False,1
2579,True,False,False,False,False,False,0
2281,False,False,False,False,False,False,1
5933,True,True,False,False,False,False,0
8502,True,False,True,False,False,False,1
5906,True,True,False,False,False,False,0
4529,True,True,False,False,False,False,0
7611,True,False,False,True,True,False,1
2488,True,True,False,False,False,False,1
3712,True,True,False,False,False,False,0
5848,False,True,False,True,False,True,1
4163,False,False,True,True,True,True,1
4336,True,True,False,False,False,False,0
5127,True,True,False,False,False,False,0
8577,True,True,False,False,False,False,0
8345,True,False,False,True,True,False,1
4583,False,False,False,True,False,False,1
2106,True,False,False,True,True,False,1
4688,True,True,False,True,True,False,1
1231,True,True,False,False,True,True,1
6351,True,True,False,False,False,False,0
8443,True,True,False,False,False,False,0
4663,True,False,True,False,False,True,1
406,True,False,False,True,True,False,1
7370,True,False,False,True,True,False,1
8540,True,True,False,False,False,False,0
3788,True,True,False,False,False,False,1
1268,True,False,True,False,True,True,1
6671,True,True,False,True,True,False,0
393,True,False,True,True,True,False,1
594,True,True,False,False,False,False,0
5048,True,False,True,False,True,False,0
4341,True,True,False,False,False,False,0
2918,False,False,True,True,True,True,0
4416,True,False,True,False,True,True,1
2410,True,True,False,False,False,False,0
4158,False,False,False,False,False,False,1
3485,True,True,False,False,False,False,0
2335,True,True,False,False,False,False,0
6959,True,True,False,False,False,False,0
500,True,True,False,False,False,False,0
3375,True,True,False,False,False,False,1
6442,True,False,False,False,False,False,1
2690,True,True,False,False,False,False,0
4938,True,False,False,True,True,False,0
3145,True,True,False,False,False,False,0
8589,True,True,False,False,False,False,0
4062,True,False,False,False,True,False,1
405,True,True,False,False,False,False,0
2439,False,False,True,False,False,False,1
6313,True,False,True,False,True,False,1
8484,True,True,False,False,False,False,0
6306,True,False,False,False,True,False,0
2447,True,False,False,False,False,False,1
5508,True,False,False,True,True,False,1
6796,True,True,False,False,False,False,1
3618,True,True,False,False,False,False,0
1668,True,True,False,False,False,False,0
2319,True,False,False,True,True,False,0
7298,True,False,False,False,True,False,1
2552,True,True,False,False,False,False,0
7018,True,True,False,False,False,False,0
8075,True,False,True,False,False,True,1
3703,True,True,False,False,False,False,0
3668,False,False,True,True,True,True,1
