row_id,efficiency_minmax,scoring_impact_minmax,eff_times_minutes_minmax,eff_per_point_minmax,plus_minus_minmax,blocks_minmax,target
6782,0.4090909090909091,0.16379310344827586,0.20739032500268156,0.24675324675324675,0.3584905660377359,0.3333333333333333,0
4553,0.5909090909090909,0.4020376175548589,0.48326718867317386,0.20300751879699247,0.6037735849056604,0.0,1
3801,0.5,0.25235109717868337,0.31309664271157356,0.2346938775510204,0.24528301886792453,0.3333333333333333,0
7385,0.29545454545454547,0.0987460815047022,0.13804569344631554,0.2222222222222222,0.3584905660377359,0.0,0
469,0.5,0.2884012539184953,0.3019950659658909,0.20535714285714285,0.5660377358490566,0.0,0
2716,0.31818181818181823,0.10579937304075235,0.18545532553898958,0.23809523809523808,0.5660377358490566,0.0,0
2433,0.29545454545454547,0.05485893416927899,0.07873002252493833,0.39999999999999997,0.4528301886792453,0.0,0
5999,0.6136363636363636,0.4169278996865204,0.4398798669956022,0.21052631578947367,0.3584905660377359,0.3333333333333333,1
643,0.5454545454545455,0.3330721003134796,0.4281347205835031,0.21008403361344538,0.22641509433962265,0.3333333333333333,0
3567,0.29545454545454547,0.0987460815047022,0.1433015123887161,0.2222222222222222,0.39622641509433965,0.3333333333333333,0
2117,0.5,0.21630094043887146,0.40314276520433334,0.2738095238095238,0.30188679245283023,0.3333333333333333,0
35,0.7727272727272728,0.7405956112852664,0.748846937681004,0.18518518518518517,0.660377358490566,0.0,1
8690,0.6590909090909092,0.44670846394984326,0.6263005470342164,0.22556390977443608,0.5849056603773585,0.0,1
2972,0.4545454545454546,0.1974921630094044,0.3494046980585648,0.25,0.30188679245283023,0.3333333333333333,0
2174,0.5227272727272727,0.26332288401253917,0.27169366083878577,0.24489795918367344,0.4716981132075472,0.3333333333333333,1
2579,0.4318181818181819,0.2507836990595611,0.24337659551646465,0.17857142857142855,0.3207547169811321,0.3333333333333333,0
2281,0.8409090909090909,0.7742946708463949,0.7851549930279953,0.20879120879120877,0.2641509433962264,0.3333333333333333,1
5933,0.5227272727272727,0.26332288401253917,0.31030784082376917,0.24489795918367344,0.5094339622641509,0.3333333333333333,0
8502,0.6818181818181819,0.4615987460815047,0.6773570739032501,0.23308270676691728,0.37735849056603776,1.0,1
5906,0.24999999999999997,0.03761755485893417,0.07733562158103613,0.42857142857142855,0.8301886792452831,0.0,0
