row_id,high_eff_min_freq_0.7963888888888889,high_eff_scorer_freq_0.5361111111111111,eff_times_minutes_binning_quantile_6,assists_binning_quantile_4,rebounds_binning_quantile_7,eff_times_minutes_binning_quantile_4,target
6318,True,True,False,True,False,True,0
741,True,True,False,True,False,False,0
3782,True,False,False,False,False,False,0
7851,True,True,False,False,False,False,0
2964,True,True,False,False,False,False,0
6809,True,False,False,True,False,False,1
3961,True,False,False,False,False,False,1
5309,True,False,False,False,True,True,0
3396,False,False,False,False,False,False,1
2486,True,False,False,True,False,True,1
5034,True,True,False,True,False,False,0
4569,True,False,False,False,False,True,1
4375,True,False,False,False,False,False,0
4140,True,False,False,False,True,True,1
2095,True,True,False,False,False,False,0
436,False,False,True,False,False,False,0
5361,True,False,False,False,False,False,0
6000,True,True,False,False,False,False,0
309,True,False,False,False,False,False,1
8830,False,True,False,False,True,False,1
8810,True,False,False,True,False,True,0
4127,False,False,True,True,False,False,1
88,True,True,False,False,False,False,0
3321,False,False,False,False,True,False,1
2898,True,False,False,False,False,False,1
402,True,True,False,False,False,False,0
4181,False,False,True,True,False,False,1
1021,True,True,False,False,False,False,0
882,True,True,False,False,False,False,0
2593,True,False,False,False,True,True,1
6511,True,True,False,False,False,False,0
5734,True,True,False,False,False,False,0
6663,True,True,False,False,False,False,0
6985,True,False,False,True,False,False,1
6871,True,True,False,False,True,True,1
7309,True,True,False,False,False,False,0
6041,False,False,False,False,False,False,1
258,True,True,False,False,False,False,0
4476,True,True,False,False,False,False,0
289,False,False,False,False,False,False,0
8036,True,True,False,False,False,False,0
7793,True,True,False,False,False,True,0
6436,False,False,True,True,False,False,1
4199,True,True,False,False,False,False,0
8225,False,False,False,False,True,False,1
5661,True,True,False,False,False,False,0
4687,True,True,False,False,False,False,0
4872,True,True,False,False,True,False,0
7616,True,True,False,False,False,False,0
738,True,False,True,True,False,False,1
4697,True,False,False,False,False,True,0
7398,True,True,False,True,False,False,0
5275,True,True,False,False,False,False,0
1818,True,True,False,False,False,False,0
8688,True,True,False,False,False,False,0
544,False,True,False,False,True,False,1
4930,True,False,True,True,False,False,1
7979,True,True,False,False,False,False,0
4124,False,False,False,False,False,False,1
4416,True,False,False,True,False,True,1
5863,True,True,False,False,True,False,0
8542,True,True,False,False,False,False,0
1840,True,False,False,False,False,False,1
2345,False,False,True,False,True,False,1
4335,True,False,False,False,False,False,1
2134,True,True,False,False,False,False,0
6189,True,True,False,True,False,False,1
2030,True,False,False,False,False,False,0
2949,True,True,False,False,False,False,0
801,True,True,False,False,False,False,0
6232,True,True,False,False,False,False,0
1406,True,True,False,False,False,False,1
57,True,False,False,False,False,True,1
70,True,False,False,False,False,True,1
8039,True,True,False,False,True,False,0
712,True,True,False,True,False,False,0
5709,True,True,False,False,False,False,0
266,True,False,False,True,False,False,1
1587,True,True,False,False,False,False,0
5152,True,True,False,False,False,False,0
2408,True,True,False,False,False,False,0
4632,True,True,False,False,True,False,0
2023,False,False,True,False,False,False,1
1966,True,False,False,True,False,False,1
4030,True,True,False,False,False,False,0
4891,False,False,True,False,False,False,1
5951,True,False,False,False,False,True,1
8849,True,True,False,False,False,False,0
8114,True,True,False,False,False,False,0
2706,True,False,False,False,False,False,0
4937,True,True,False,False,False,True,0
3124,False,False,False,True,False,False,1
7695,True,True,False,False,True,True,1
2026,True,False,True,True,False,False,1
7711,True,True,False,False,False,False,0
2303,False,True,True,True,True,False,1
7095,False,False,False,True,False,False,0
2084,True,False,False,True,False,True,1
6687,True,True,False,False,False,False,0
4513,True,False,False,False,False,False,0
5767,False,False,True,True,False,False,1
4246,False,False,True,True,True,False,1
6093,True,False,False,False,False,True,1
4691,False,False,False,True,False,False,0
8134,True,False,False,False,False,True,1
1330,False,False,True,False,True,False,1
8205,True,False,False,False,False,True,0
1685,True,True,False,False,False,False,0
8676,True,True,False,True,False,False,0
5796,True,True,False,False,False,False,0
1778,True,False,True,False,False,False,0
2919,True,True,False,False,False,False,0
752,False,False,True,True,False,False,1
4293,True,True,False,False,False,False,0
3318,True,False,False,True,False,True,1
5628,False,False,True,True,False,False,1
4857,True,True,False,False,False,False,0
477,True,False,False,False,False,True,0
6276,True,False,False,False,False,False,0
3709,False,False,False,False,False,False,0
3008,True,True,False,False,False,False,0
212,True,False,True,False,True,False,1
469,True,False,False,True,False,False,0
1546,False,False,True,False,True,False,1
7330,True,False,False,False,False,False,1
6112,True,False,False,False,False,False,1
8650,True,True,False,True,False,False,0
6015,True,True,False,False,False,False,0
7714,False,False,True,True,False,False,1
3313,True,True,False,False,True,False,1
1026,True,False,False,False,False,False,0
3257,True,False,False,False,True,False,1
6268,True,True,False,False,False,False,0
5717,True,True,False,True,False,True,0
8543,True,False,True,True,False,False,1
1471,True,True,False,False,False,False,0
3685,True,True,False,False,False,False,0
7071,True,True,False,False,False,False,0
7259,True,True,False,False,False,False,0
5787,True,False,False,False,False,False,0
774,True,False,False,False,False,False,0
1955,False,False,False,True,False,False,0
2884,True,True,False,False,False,False,0
2200,True,True,False,False,False,False,0
5966,True,True,False,False,False,False,0
642,False,False,True,False,True,False,1
3056,True,False,False,False,False,True,1
197,True,True,False,False,False,False,0
7098,True,True,False,False,True,False,1
1156,True,True,False,False,False,False,0
1145,True,True,False,False,False,False,0
7166,False,False,True,False,True,False,1
1109,False,False,True,False,True,False,1
6726,True,True,False,False,False,False,0
7289,True,True,False,False,False,False,0
1421,False,False,False,False,False,False,1
6533,False,False,True,True,False,False,1
5649,True,True,False,False,False,False,0
3860,True,False,True,False,True,False,1
2969,True,False,False,False,False,True,1
7030,True,True,False,False,False,False,0
3858,True,True,False,False,False,False,0
1759,True,True,False,False,False,False,0
958,True,True,False,False,False,True,1
6886,True,True,False,False,True,True,0
1681,True,True,False,False,False,False,0
5415,True,True,False,False,False,False,0
634,False,False,True,False,True,False,1
3134,False,False,False,False,True,False,0
2885,True,True,False,False,False,False,0
4998,True,True,False,False,False,False,0
1262,False,False,True,True,True,False,1
119,True,False,False,False,False,True,1
6559,True,False,True,False,False,False,0
8351,False,False,True,False,True,False,1
7962,False,False,True,True,False,False,1
4966,True,True,False,False,False,False,0
3091,True,False,True,True,False,False,1
8248,True,True,False,False,False,False,0
4658,True,True,False,False,False,False,0
5031,True,False,False,False,False,True,1
8218,True,False,False,False,False,False,0
7463,True,False,False,False,False,True,0
5282,True,True,False,False,False,False,1
2447,True,False,False,False,False,False,1
5317,True,True,False,False,False,False,0
3881,True,False,False,True,False,True,1
7766,True,True,False,False,False,False,0
2132,False,False,False,False,True,False,1
1173,False,False,True,False,False,False,0
6740,False,False,True,False,True,False,1
5059,True,False,False,False,False,True,1
3659,True,True,False,True,False,False,0
7857,False,False,False,False,False,True,1
7916,True,True,False,False,False,False,0
93,False,False,True,True,False,False,1
3627,True,True,False,False,False,False,0
5141,True,True,False,False,False,False,1
5786,True,True,False,False,True,False,0
5153,True,True,False,False,False,False,0
5217,False,False,True,True,False,False,1
2211,True,False,False,False,False,True,1
4826,False,False,True,False,True,False,1
6275,True,True,False,False,False,False,0
3735,True,True,False,False,False,False,0
7549,True,True,False,True,False,False,0
8915,True,True,False,False,False,False,0
6714,True,True,False,False,False,False,0
8541,True,True,False,False,False,False,1
5104,True,True,False,False,False,True,1
6222,True,True,False,False,False,False,0
816,True,True,False,False,False,False,0
4964,True,True,False,False,False,False,0
619,True,True,False,True,False,False,1
4399,True,True,False,False,False,False,0
4413,True,True,False,False,False,False,0
4856,True,True,False,False,False,False,0
7024,True,False,False,False,False,True,1
1043,True,False,False,False,False,False,1
2373,True,True,False,False,False,False,0
2752,True,True,False,False,False,False,0
3299,True,True,False,False,False,False,0
1075,True,True,False,False,False,False,0
1397,True,True,False,False,False,False,0
8791,False,False,False,False,False,False,1
5805,True,True,False,False,False,False,0
3804,True,True,False,False,False,False,0
180,False,False,True,False,True,False,1
8317,False,False,False,False,False,False,1
2648,True,True,False,False,False,False,0
5573,True,True,False,True,False,False,1
7347,True,True,False,False,False,False,1
2457,True,True,False,False,False,False,0
8362,True,False,False,False,True,False,1
1158,True,False,True,False,False,False,1
6483,False,False,True,True,False,False,1
1533,False,False,True,False,False,False,1
3066,True,False,False,False,False,True,0
3107,True,True,False,False,False,False,0
8620,True,True,False,False,False,False,0
3275,True,True,False,True,False,False,0
8184,True,True,False,False,False,False,0
2440,True,False,False,False,False,True,0
1536,True,True,False,False,False,False,0
1346,False,False,True,True,False,False,1
2474,False,False,False,False,True,False,0
8707,True,False,False,False,False,False,1
6086,True,True,False,True,False,False,1
5419,True,True,False,False,False,False,0
8798,True,True,False,False,False,False,0
5674,True,True,False,False,False,False,1
6423,False,False,False,False,True,False,1
2273,True,False,True,False,False,False,0
1481,False,False,True,False,True,False,1
3718,True,False,False,False,False,False,0
8800,True,True,False,False,False,False,0
8940,True,True,False,False,False,False,0
2649,False,False,True,True,False,False,1
1953,True,False,True,False,True,False,1
6640,True,False,False,False,True,False,1
2865,False,False,True,True,False,False,1
1164,False,True,False,False,True,False,0
8611,False,False,False,False,False,False,1
4973,True,True,False,False,False,False,1
3816,True,False,False,False,False,False,0
6520,True,True,False,False,False,False,0
4216,True,True,False,False,False,False,0
3291,True,False,False,True,False,False,1
1599,True,True,False,False,False,False,0
8082,True,False,False,False,False,True,1
301,False,False,True,True,False,False,1
8805,True,True,False,False,False,False,0
2479,True,False,False,False,False,False,0
2076,True,False,False,False,False,False,0
4462,True,True,False,False,False,False,1
7783,True,True,False,False,False,False,0
1360,False,False,True,True,False,False,1
3129,False,False,False,True,False,False,0
4685,False,False,True,False,False,False,1
4583,False,False,True,False,True,False,1
487,True,False,False,False,False,True,0
5499,False,False,False,False,False,False,1
7613,True,False,False,False,False,True,0
1153,False,False,True,True,False,False,1
3992,True,False,False,False,False,False,1
6609,True,True,False,False,False,False,1
6319,True,True,False,False,False,True,0
8732,True,True,False,False,False,False,0
6703,True,False,False,False,False,True,0
5748,True,False,False,False,False,False,0
666,True,False,False,False,False,True,1
2685,True,True,False,False,False,False,0
6625,True,True,False,False,False,False,0
643,True,False,False,False,False,False,0
177,True,True,False,False,False,False,0
8918,True,True,False,False,True,False,0
2234,True,False,True,False,False,False,0
787,False,False,False,False,True,False,1
5129,True,False,False,False,False,False,1
3662,True,True,False,False,False,False,0
2985,True,False,False,True,False,False,1
92,True,True,False,False,False,False,0
5426,True,True,False,False,False,False,0
6690,True,False,False,False,False,True,1
7173,True,True,False,False,False,False,1
1972,True,False,False,False,False,False,1
531,True,False,True,False,False,False,1
997,True,False,False,True,False,True,0
3425,True,True,False,False,False,False,0
3308,True,True,False,False,True,True,1
1428,True,True,False,False,False,False,0
4520,True,True,False,False,False,False,0
2304,False,False,False,True,False,False,1
2841,True,True,False,False,False,False,0
5240,True,False,False,False,False,False,1
6681,True,True,False,False,False,False,0
7584,True,False,False,True,False,False,1
3549,True,False,False,False,False,True,1
2869,False,True,False,False,True,False,1
6861,True,True,False,False,False,True,0
3746,True,True,False,False,False,True,1
2749,True,True,False,False,True,True,1
695,True,True,False,True,False,False,0
5680,True,True,False,False,False,False,0
1739,True,True,False,True,False,False,0
168,True,False,False,False,False,False,1
3913,True,True,False,False,False,False,0
7194,True,True,False,False,False,False,0
8210,True,True,False,False,False,False,1
5588,False,False,True,False,True,False,1
4020,True,True,False,False,False,False,0
2334,True,True,False,False,False,False,0
2606,True,True,False,False,False,False,0
7672,True,True,False,False,False,False,0
5665,True,True,False,False,False,False,0
6429,True,True,False,False,False,True,0
2922,True,False,False,False,False,False,1
6747,True,False,False,False,True,True,0
2756,True,True,False,False,False,False,0
6400,True,True,False,False,False,False,0
3647,True,True,False,False,False,False,0
101,True,False,False,False,False,False,1
4886,True,True,False,True,False,False,0
5042,True,True,False,False,False,False,0
6172,True,True,False,False,False,True,1
8102,True,True,False,False,False,False,0
8302,False,False,True,False,True,False,1
2442,True,True,False,False,False,False,0
1466,False,False,True,True,False,False,1
4054,True,True,False,False,False,False,0
1745,True,True,False,False,False,False,0
4607,True,False,False,False,False,True,0
8108,True,True,False,False,False,True,1
4429,True,True,False,False,False,False,0
8996,True,True,False,False,False,True,1
7929,True,False,True,False,False,False,1
8301,True,True,False,False,False,False,0
6118,True,True,False,False,False,False,0
5529,True,False,True,True,True,False,1
4307,True,True,False,False,False,False,0
8479,False,False,False,False,False,False,0
2122,True,True,False,False,False,False,0
8516,True,True,False,False,False,False,0
7202,True,False,False,True,False,True,0
4193,True,False,False,False,False,True,0
7943,True,False,False,False,False,True,0
6220,False,False,False,False,False,False,1
1204,True,True,False,False,False,False,0
8859,True,True,False,False,True,False,1
1927,False,False,True,False,True,False,1
5915,True,False,False,True,False,False,1
4869,False,False,False,True,False,False,0
2338,True,False,False,False,False,True,0
6359,True,True,False,False,False,False,0
2500,True,False,False,True,False,True,1
3380,True,False,False,False,False,False,1
